site,Prcp_h,Prcp_d,ratio,ET,nyear,ratio_OK
MF_针阔混交_鼎湖山,1452.3,1458.1,1,660.6,8,TRUE
EBF_热带雨林_西双版纳,1401.2,1339.2,1,668.2,13,TRUE
EBF_橡胶林_海南儋州,1430.7,1325.5,1.1,712.2,9,TRUE
EBF_橡胶林_西双版纳,1224.4,1224.4,1,884.8,5,TRUE
ENF_人工针叶林_千烟洲,1141.6,1147,1,694.8,13,TRUE
DBF_天然栎林_宝天曼,1047.6,1047.6,1,740.1,2,TRUE
EBF_亚热带常绿阔叶林_金佛山,328.6,972.5,0.3,374.7,2,FALSE
GRA_高寒草甸_若尔盖,693.9,693.9,1,463.8,6,TRUE
GRA_稀树草原_元江,559.6,672.3,0.8,400,3,TRUE
DBF_栓皮栎人工林_小浪底,656.5,656.5,1,469.9,2,TRUE
CRO_水稻_盘锦,546.5,546.5,1,603.9,3,TRUE
CRO_冬小麦夏玉米_禹城,552.3,494.9,6.9,680,8,FALSE
MF_针阔混交_长白山,468.6,466.6,1,449.1,8,TRUE
WET_高寒湿地_海北,455.1,460.9,1,656.7,6,TRUE
GRA_高寒草甸_那曲,458.5,458.5,1,379,5,TRUE
GRA_高寒草甸_当雄,438.3,441.7,1,542.5,7,TRUE
GRA_高寒草甸_海北,438,437.9,1,571.3,6,TRUE
WSA_高寒灌丛_海北,432.9,432.9,1,486,7,TRUE
SAV_荒漠草原_达茂,346.3,346.3,1,389.9,4,TRUE
GRA_人工垂穗披碱草_三江源,312,316.1,1,482.7,5,TRUE
CRO_水稻_长岭,307.3,314.4,1,598.3,3,TRUE
CRO_冬小麦夏玉米_固城,1385.9,305.2,3.1,623.6,3,FALSE
GRA_典型草原_多伦,282,282,1,451.4,10,TRUE
GRA_刈割草原_锡林浩特,259.2,259.2,1,408.2,10,TRUE
CRO_春玉米_锦州,258.1,258.1,1,382,9,TRUE
CRO_水稻_句容,858.9,202.5,4.7,801,6,FALSE
ENF_人工针叶林_燕山,200,200,1,501.7,2,TRUE
WSA_灌丛_燕山,200,200,1,418.5,2,TRUE
GRA_典型草原_锡林浩特,156.1,156,1,391.3,8,TRUE
ENF_北方林森林_呼中,102.4,102.4,1,272.9,5,TRUE
CRO_制种玉米_临泽,0,0,,422.4,4,
