site,n_hour,nyear,Ta,RH,WS,Rs,Rln_in,Prcp,Prcp_flag,n_day,GPP,ET,LAI
CRO_冬小麦夏玉米_固城,25073,2.9,11.8,11.8,12.9,11.8,98,12.7,ok,1045,0.5,11.3,0
CRO_冬小麦夏玉米_禹城,69664,8,0,0,8.8,0,100,0.8,ok,2922,6,0,0
CRO_制种玉米_临泽,35033,4,36.9,36.9,42.3,100,100,100,no_precip,1461,100,41.1,0
CRO_春玉米_锦州,78888,9,5.4,5.6,5.4,5.4,5.6,9.4,ok,3287,0,4.6,0
CRO_水稻_句容,52608,6,0.4,23.6,10.7,11.7,100,36.8,ok,2192,13.4,5.5,0
CRO_水稻_盘锦,25904,3,14.1,5.4,12.8,5.1,78.7,0,ok,1080,18,12.6,0
CRO_水稻_长岭,21965,2.5,0,0,0,0,68.6,0,ok,916,10,0,0
DBF_天然栎林_宝天曼,17521,2,0,0,0,7.2,7.2,0,ok,730,0,0,0
DBF_栓皮栎人工林_小浪底,17544,2,0,0,0,0,100,0,ok,731,6.8,0,0
EBF_亚热带常绿阔叶林_金佛山,17544,2,0,0,0.6,35.2,100,0,ok,731,4.4,0,0
EBF_橡胶林_海南儋州,78888,9,11.4,19.6,28,11.1,100,10.7,ok,3287,13.7,21.1,0
EBF_橡胶林_西双版纳,39609,4.5,0,0,3.2,0,100,0.2,ok,1651,0.1,0,0
EBF_热带雨林_西双版纳,113953,13,0,0,1.2,0,100,2.7,ok,4748,0,0,0
ENF_人工针叶林_千烟洲,113952,13,0,0,0,0,100,0.6,ok,4748,0.1,0,0
ENF_人工针叶林_燕山,17544,2,0,0,11.8,0,97.9,22.8,ok,731,3,0,0
ENF_北方林森林_呼中,43824,5,2.4,7.3,18.3,2.1,100,2.4,ok,1826,0,0,0
GRA_人工垂穗披碱草_三江源,43848,5,8.9,10.7,100,100,100,11.2,ok,1827,0.1,0,0
GRA_典型草原_多伦,87648,10,0.5,0.5,2.3,0.5,0.5,1.2,ok,3652,100,0.4,0
GRA_典型草原_锡林浩特,67417,7.7,0,0,0.8,0,0.8,36.7,ok,2809,4.2,0,0
GRA_刈割草原_锡林浩特,87648,10,1.1,1.4,7.9,1.1,1.1,1.6,ok,3652,100,7.1,0
GRA_稀树草原_元江,23401,2.7,0.8,0.8,4.9,0.8,100,0.9,ok,969,0,0,0
GRA_高寒草甸_当雄,61369,7,0,0,4,0,100,0,ok,2557,0,0,0
GRA_高寒草甸_海北,52608,6,0,0,100,0,100,8.7,ok,2192,0,0,0
GRA_高寒草甸_若尔盖,49344,5.6,1.1,3.5,23.4,100,100,8.4,ok,2056,17.8,17.8,0
GRA_高寒草甸_那曲,43824,5,0,0,0.2,0,0,0,ok,1826,0,0,0
MF_针阔混交_长白山,70129,8,0,0,0,0,1.6,15.1,ok,2922,0,0,0
MF_针阔混交_鼎湖山,70129,8,0,0,0.1,0,100,3.2,ok,2922,0,0,0
SAV_荒漠草原_达茂,35064,4,2.2,0,0,0,100,0,ok,1461,0,0,0
WET_高寒湿地_海北,52608,6,0,0,20,0,100,10.8,ok,2192,0,0,0
WSA_灌丛_燕山,17544,2,0,0,11.8,0,97.9,22.8,ok,731,23.5,0,0
WSA_高寒灌丛_海北,61392,7,0,0,0,0,100,0,ok,2558,0,0,0
