site,name,lon,lat,IGBP,source
LuanCheng,栾城,114.683333333333,37.8833333333333,CRO,nesdc
LinZe,临泽,100.140833333333,39.3272222222222,CRO,nesdc
YuCheng,禹城,116.5702,36.829,CRO,nesdc
GuCheng,固城,115.666666666667,39.1333333333333,CRO,nesdc
JinZhou,锦州,121.201666666667,41.1480555555556,CRO,nesdc
JuRong,句容,119.217222222222,31.8066666666667,CRO,nesdc
PanJin-CRO,盘锦-CRO,121.960277777778,40.9413888888889,CRO,nesdc
QingYang,庆阳,107.85,35.6666666666667,CRO,nesdc
ChangLing,长岭,123.470277777778,44.5966666666667,CRO,nesdc
Shouyang,寿阳,113.2,37.75,CRO,nesdc
Weishan,位山高营,116.0542,36.6487,CRO,nesdc
AiLaoShan,哀牢山,101.028888888889,24.5380555555556,EBF,nesdc
Xishuangbanna-EBF,西双版纳-EBF,101.25,21.9166666666667,EBF,nesdc
Xishuangbanna-Rubber,西双版纳-Rubber,101.266666666667,21.9,EBF,nesdc
JinFoShan,金佛山,107.1508,29.0217,EBF,nesdc
DanZhou,儋州,109.475,19.5463888888889,EBF,nesdc
QianYanZhou,千烟洲,115.066666666667,26.7333333333333,ENF,nesdc
HuZhong,呼中,121.017777777778,51.7811111111111,ENF,nesdc
DangXiong,当雄,91.0833333333333,30.85,GRA,nesdc
NaQu,那曲,92.0166666666667,31.65,GRA,nesdc
HaiBei-GRA,海北-GRA,101.311944444444,37.6094444444445,GRA,nesdc
RuoErGai,若尔盖,102.55,32.8,GRA,nesdc
SanJiangYuan,三江源,100.699166666667,35.2530555555556,GRA,nesdc
Xilinhot-GRA,锡林浩特-典型草原,116.403888888889,43.3252777777778,GRA,nesdc
Xilinhot-GRA2,锡林浩特-刈割草原,116.671388888889,43.5544444444444,GRA,nesdc
DuoLun,多伦,116.283611111111,42.0466666666667,GRA,nesdc
HaiBei-WSA,海北-WSA,101.316666666667,37.6166666666667,WSA,nesdc
YuanJiang,元江,102.1775,23.4738888888889,SAV,nesdc
DaMao,达茂,110.331388888889,41.6438888888889,SAV,nesdc
DingHuShan,鼎湖山,112.534166666667,23.1736111111111,MF,nesdc
ChangBaiShan,长白山,128.0958,42.4025,MF,nesdc
MaoErShan,帽儿山,127.666666666667,45.4166666666667,DBF,nesdc
BaoTianMan,宝天曼,111.935277777778,33.4997222222222,DBF,nesdc
XiaoLangDi,小浪底,112.468888888889,35.0291666666667,DBF,nesdc
PuDing,普定,106.316666666667,26.6,MF,nesdc
YanShan-MF,燕山-MF,116.6539,40.4172,MF,nesdc
YanShan-ENF,燕山-ENF,116.6588,40.4165,ENF,nesdc
YanShan-WSA,燕山-WSA,116.6537,40.4214,WSA,nesdc
NanDi,南荻,113.052222222222,29.4875,WET,nesdc
PanJin-WET,盘锦-WET,121.964444444444,40.9325,WET,nesdc
ChongMing,崇明东滩,121.95,31.5166666666667,WET,nesdc
HaiBei-WET,海北-WET,101.316666666667,37.6,WET,nesdc
