site,lon,lat,VegType,SoilType,SoilType_CN,z_TS,z_SM,z_Uz,z_overstory
DBF_栓皮栎人工林_小浪底,112.4688889,35.02916667,DBF,loam,棕壤和石灰岩风化母质淋溶性褐土,"0,5,10,20","5,10,20",36,11
DBF_天然栎林_宝天曼,111.9352778,33.49972222,DBF,loam,"山地棕壤为主,土层厚度在40~100cm 之间。山地棕壤、山地黄棕壤和山地褐土3个土类","5,20","10,20,50",22,20
EBF_热带雨林_西双版纳,101.25,21.91666667,EBF,clay_loam,以砖红壤为主，局部伴生赤红壤,"0,40,60,80,100","5,20,40",42,35
EBF_橡胶林_海南儋州,109.475,19.54638889,EBF,sandy_clay_loam,"花岗岩风化而成的砖红壤，多
为沙质粘壤土","2,5,20,50","5,20,50",33,18
EBF_橡胶林_西双版纳,101.2666667,21.9,EBF,clay_loam,砖红壤/赤红壤；壤土—黏壤土—黏土,"0,5,20,100","5,20,100",28.9,21
EBF_亚热带常绿阔叶林_金佛山,107.1508,29.0217,EBF,clay_loam,石灰土，伴有少量棕黄壤，基岩地层以寒武纪、奥陶纪的石灰岩、白云岩为主,"10,20,40,60,80,120,160","10,20,40,60,80,120,160",24,16
ENF_北方林森林_呼中,121.0177778,51.78111111,ENF,loam,棕色针叶林土,"5,10,20,50,100","10,20,30,50,100",25,15
ENF_人工针叶林_千烟洲,115.0666667,26.73333333,ENF,sandy_loam,"红壤，成土母质多为红色砂
岩和砂砾岩","5,10,20,50,100","5,20,50",39.6,12
ENF_人工针叶林_燕山,116.6588,40.4165,ENF,loam,壤土，潮褐土,"5,10,20,40,60","5,10,20",20,10
MF_乔灌混交林_燕山,116.6539,40.4172,Shrub-SH,loam,壤土，潮褐土,"5,10,20,40,60","5,10,20",20,7
WSA_灌丛_燕山,116.6537,40.4214,Shrub-SH,sandy_loam,褐土，沙壤质,"5,10,20,40,60","5,10,20",20,1.7
MF_针阔混交_鼎湖山,112.5341667,23.17361111,Shrub-SH,clay_loam,南亚热带赤红壤。地质基础主要为泥盆纪砂岩、砂页岩、页岩和石英砂岩,"5,10,15,20,40","5,20,40",28,17.5
MF_针阔混交_长白山,128.0958,42.4025,Shrub-SH,loam,山地暗棕壤,"0,5,20,50,100","5,20,50",32,27
CRO_春玉米_锦州,121.201667,41.148056,CRO,loam,棕壤,"5,10,15,20,40,80","10,20,30,40",6,2.8
CRO_冬小麦夏玉米_固城,115.6667,39.1333,CRO,sandy_loam,砂壤土,4,4,4.5,2.9
CRO_冬小麦夏玉米_栾城,114.6833,37.8833,CRO,loam,壤土,5,20,3.5,2
CRO_冬小麦夏玉米_禹城,116.5702,36.829,CRO,sandy_loam,砂壤土,"5,10,20,30,50","5,10,20",3.3,1.5
CRO_水稻_句容,119.2173,31.8068,CRO,clay_loam,粘壤土,"5,10,20,30,50","5,10,20,30,50",3.5,1.1
CRO_水稻_盘锦,121.9603,40.9414,CRO,silty_loam,盐渍化水稻土,"5,35","10,20,30,40,50",2.5,0.9
CRO_水稻_长岭,123.4703,44.5967,CRO,clay,23%沙土、35%粉砂土、42%黏土,"5,10,20",20,2,1.1
CRO_制种玉米_临泽,100.1408,39.3272,CRO,sandy_loam,沙质壤土,10,10,6,2
GRA_典型草原_多伦,116.2836,42.0467,CRO,sandy_loam,栗钙土,10,10,4,0.3
GRA_典型草原_锡林浩特,116.404,43.3255,CRO,sandy_loam,栗钙土,"5,20,50","5,10,20,50,100",2.5,0.3
GRA_高寒草甸_当雄,91.0833,30.85,CRO,silty_loam,高山草原土,"5,10,20,40,80","5,20,50",2.2,0.3
GRA_高寒草甸_海北,101.3119,37.6094,CRO,silty_loam,高山草甸土,"5,10,15,20,40","5,10,15,20,40",2.2,0.3
GRA_高寒草甸_那曲,92.0167,31.65,CRO,silty_loam,高山草甸土,"10,20","10,20",2.3,0.3
GRA_高寒草甸_若尔盖,102.55,32.8,CRO,silty_loam,亚高山草甸土,"5,10,20,30,50","5,10,20",2.5,0.3
GRA_粮草复合_庆阳,107.85,35.6667,CRO,silty_loam,粉壤土,"5,10,20,40,60,80,160",10,2.75,1
GRA_人工垂穗披碱草_三江源,100.6992,35.2531,CRO,loam,暗棕壤,"5,15,35,55","5,15,35",,0.3
GRA_稀树草原_元江,102.1775,23.4739,CRO,sandy_loam,燥红土,"0,5,10,20,40","5,40",13.9,6
GRA_刈割草原_锡林浩特,116.404,43.3255,CRO,sandy_loam,栗钙土,"5,20,50","5,10,20,50,100",2.5,0.2
SAV_荒漠草原_达茂,110.3315,41.644,CRO,sandy_loam,土壤为棕钙土，土壤质地多为砂壤,"5,10,15,20,40,80","10,20,30",2.3,0.2
WET_滨海盐沼_崇明东滩,121.9607,31.5167,CRO,silty_loam,土壤质地受到潮汐作用的强烈影响。沉积物主要由淤泥组成，占73%。黏土的比例只有17%，而砂的比例更少，只有10%。,5,,4.8,2.5
WET_高寒湿地_海北,101.3167,37.6,CRO,silty_loam,有机寒冻潜育土,"5,10,20,40,60",,2.5,0.5
WET_芦苇湿地_盘锦,121.9646,40.9327,CRO,clay,"滨海盐土类,典型粘土","10,20,30,40,50",,2.5,2
WET_南荻_洞庭湖,113.0525,29.4875,CRO,silty_loam,,5,,,6
WSA_高寒灌丛_海北,101.3167,37.6167,Shrub-SH,silty_loam,高山灌丛草甸土,"5,10,20,40,60","10,20",2.5,0.5
WSA_退耕乔灌草_普定,105.7167,26.6,Shrub-SH,loam,土壤类型以石灰土为主，质地为壤土，厚度不一,"10,20,40","10,20,40",13.6,5
