site,name,name_new,unit,unit_new,comment
CRO_春玉米_锦州,year,,-,,""
CRO_春玉米_锦州,month,,-,,""
CRO_春玉米_锦州,day,,-,,""
CRO_春玉米_锦州,hour,,-,,""
CRO_春玉米_锦州,minute,,-,,""
CRO_春玉米_锦州,NEE,,mg CO2 m-2 s-1,,""
CRO_春玉米_锦州,LE,,W m-2,,""
CRO_春玉米_锦州,Hs,,W m-2,,""
CRO_春玉米_锦州,NEE_F,,mg CO2 m-2 s-1,,""
CRO_春玉米_锦州,RE,,mg CO2 m-2 s-1,,""
CRO_春玉米_锦州,GEE,,mg CO2 m-2 s-1,,""
CRO_春玉米_锦州,LE_F,,W m-2,,""
CRO_春玉米_锦州,Hs_F,,W m-2,,""
CRO_春玉米_锦州,doy,,-,,""
CRO_春玉米_锦州,Ta,,℃,,""
CRO_春玉米_锦州,Ta_canopy,,℃,,""
CRO_春玉米_锦州,RH,,%,,""
CRO_春玉米_锦州,RH_canopy,,%,,""
CRO_春玉米_锦州,ea,,kPa,,""
CRO_春玉米_锦州,ea_canopy,,kPa,,""
CRO_春玉米_锦州,WS,,m s-1,,""
CRO_春玉米_锦州,WS_canopy,,m s-1,,""
CRO_春玉米_锦州,WD_D1_WVT,,°,,""
CRO_春玉米_锦州,WD_SD1_WVT,,°,,""
CRO_春玉米_锦州,Rs,,W m-2,,""
CRO_春玉米_锦州,Rs_out,,W m-2,,""
CRO_春玉米_锦州,Rln_in,,W m-2,,""
CRO_春玉米_锦州,Rln_out,,W m-2,,""
CRO_春玉米_锦州,Rn,,W m-2,,""
CRO_春玉米_锦州,PAR,,umol m-2 s-1,,""
CRO_春玉米_锦州,G_8cm_1,,W m-2,,""
CRO_春玉米_锦州,G_8cm_2,,W m-2,,""
CRO_春玉米_锦州,Ts_TCAV_surf,,℃,,""
CRO_春玉米_锦州,SM,,m3 m-3,,""
CRO_春玉米_锦州,TS_5cm,,℃,,""
CRO_春玉米_锦州,TS_10cm,,℃,,""
CRO_春玉米_锦州,TS_15cm,,℃,,""
CRO_春玉米_锦州,TS_20cm,,℃,,""
CRO_春玉米_锦州,TS_40cm,,℃,,""
CRO_春玉米_锦州,TS_80cm,,℃,,""
CRO_春玉米_锦州,Prcp,,mm,,""
CRO_春玉米_锦州,SM_10cm,,%,,""
CRO_春玉米_锦州,SM_20cm,,%,,""
CRO_春玉米_锦州,SM_30cm,,%,,""
CRO_春玉米_锦州,SM_40cm,,%,,""
CRO_冬小麦夏玉米_固城,year,,/,,""
CRO_冬小麦夏玉米_固城,month,,/,,""
CRO_冬小麦夏玉米_固城,day,,/,,""
CRO_冬小麦夏玉米_固城,hour,,/,,""
CRO_冬小麦夏玉米_固城,minute,,/,,""
CRO_冬小麦夏玉米_固城,QC_NEE,,mg CO2 m-2 s-1,,""
CRO_冬小麦夏玉米_固城,QC_LE,,mg CO2 m-2 s-1,,""
CRO_冬小麦夏玉米_固城,QC_Hs,,W m-2,,""
CRO_冬小麦夏玉米_固城,NEE,,mg CO2 m-2 s-1,,""
CRO_冬小麦夏玉米_固城,RE,,mg CO2 m-2 s-1,,""
CRO_冬小麦夏玉米_固城,GEE,,mg CO2 m-2 s-1,,""
CRO_冬小麦夏玉米_固城,LE,,W m-2,,""
CRO_冬小麦夏玉米_固城,Hs,,W m-2,,""
CRO_冬小麦夏玉米_固城,Ta,,℃,,""
CRO_冬小麦夏玉米_固城,RH,,%,,""
CRO_冬小麦夏玉米_固城,ea,,kPa,,""
CRO_冬小麦夏玉米_固城,PAR,,µmol m-2 s-1,,""
CRO_冬小麦夏玉米_固城,albedo,,/,,""
CRO_冬小麦夏玉米_固城,Rs,,W m-2,,""
CRO_冬小麦夏玉米_固城,Rs_out,,W m-2,,""
CRO_冬小麦夏玉米_固城,Rln_in,,W m-2,,""
CRO_冬小麦夏玉米_固城,Rln_out,,W m-2,,""
CRO_冬小麦夏玉米_固城,Rn,,W m-2,,""
CRO_冬小麦夏玉米_固城,Prcp,,mm,,""
CRO_冬小麦夏玉米_固城,WS,,m s-1,,""
CRO_冬小麦夏玉米_固城,WD,,°,,""
CRO_冬小麦夏玉米_固城,WD_StDev,,°,,""
CRO_冬小麦夏玉米_固城,G_8cm_N,,W m-2,,""
CRO_冬小麦夏玉米_固城,G_8cm_S,,W m-2,,""
CRO_冬小麦夏玉米_固城,TS_4cm_N,,℃,,""
CRO_冬小麦夏玉米_固城,TS_4cm_S,,℃,,""
CRO_冬小麦夏玉米_固城,SM_4cm_N,,%,,""
CRO_冬小麦夏玉米_固城,SM_4cm_S,,%,,""
CRO_冬小麦夏玉米_禹城,year,,/,,""
CRO_冬小麦夏玉米_禹城,month,,/,,""
CRO_冬小麦夏玉米_禹城,day,,/,,""
CRO_冬小麦夏玉米_禹城,hour,,/,,""
CRO_冬小麦夏玉米_禹城,minute,,/,,""
CRO_冬小麦夏玉米_禹城,NEE,,mg CO2 m-2 s-1,,""
CRO_冬小麦夏玉米_禹城,RE,,mg CO2 m-2 s-1,,""
CRO_冬小麦夏玉米_禹城,GEE,,mg CO2 m-2 s-1,,""
CRO_冬小麦夏玉米_禹城,LE,,W m-2,,""
CRO_冬小麦夏玉米_禹城,Hs,,W m-2,,""
CRO_冬小麦夏玉米_禹城,Ta,,℃,,""
CRO_冬小麦夏玉米_禹城,T_canopy,,℃,,""
CRO_冬小麦夏玉米_禹城,RH,,%,,""
CRO_冬小麦夏玉米_禹城,RH_canopy,,%,,""
CRO_冬小麦夏玉米_禹城,ea,,kpa,,""
CRO_冬小麦夏玉米_禹城,ea_canopy,,kpa,,""
CRO_冬小麦夏玉米_禹城,WS,,m s-1,,""
CRO_冬小麦夏玉米_禹城,WS_canopy,,m s-1,,""
CRO_冬小麦夏玉米_禹城,WD,,Deg,,""
CRO_冬小麦夏玉米_禹城,Pa,,kpa,,""
