site,name,name_new,unit,unit_new,comment
DBF_栓皮栎人工林_小浪底,year,,/,,""
DBF_栓皮栎人工林_小浪底,month,,/,,""
DBF_栓皮栎人工林_小浪底,day,,/,,""
DBF_栓皮栎人工林_小浪底,hour,,/,,""
DBF_栓皮栎人工林_小浪底,minute,,/,,""
DBF_栓皮栎人工林_小浪底,NEE,,mg CO2 m-2 s-1,,""
DBF_栓皮栎人工林_小浪底,RE,,mg CO2 m-2 s-1,,""
DBF_栓皮栎人工林_小浪底,GPP,,mg CO2 m-2 s-1,,""
DBF_栓皮栎人工林_小浪底,LE,,W m-2,,""
DBF_栓皮栎人工林_小浪底,Hs,,W m-2,,""
DBF_栓皮栎人工林_小浪底,Ta,,℃,,""
DBF_栓皮栎人工林_小浪底,Ta_canopy,,℃,,""
DBF_栓皮栎人工林_小浪底,RH,,%,,""
DBF_栓皮栎人工林_小浪底,RH_canopy,,%,,""
DBF_栓皮栎人工林_小浪底,ea,,kPa,,""
DBF_栓皮栎人工林_小浪底,ea_canopy,,kPa,,""
DBF_栓皮栎人工林_小浪底,WS,,m s-1,,""
DBF_栓皮栎人工林_小浪底,WS_canopy,,m s-1,,""
DBF_栓皮栎人工林_小浪底,WD,,Deg,,""
DBF_栓皮栎人工林_小浪底,Pa,,kPa,,""
DBF_栓皮栎人工林_小浪底,Rs,,W m-2,,""
DBF_栓皮栎人工林_小浪底,Rn,,W m-2,,""
DBF_栓皮栎人工林_小浪底,PAR,,μmol m-2 s-1,,""
DBF_栓皮栎人工林_小浪底,TS_0cm,,℃,,""
DBF_栓皮栎人工林_小浪底,TS_5cm,,℃,,""
DBF_栓皮栎人工林_小浪底,TS_10cm,,℃,,""
DBF_栓皮栎人工林_小浪底,TS_20cm,,℃,,""
DBF_栓皮栎人工林_小浪底,SM_5cm,,m3 m-3,,""
DBF_栓皮栎人工林_小浪底,SM_10cm,,m3 m-3,,""
DBF_栓皮栎人工林_小浪底,SM_20cm,,m3 m-3,,""
DBF_栓皮栎人工林_小浪底,Prcp,,mm,,""
DBF_天然栎林_宝天曼,year,,/,,""
DBF_天然栎林_宝天曼,month,,/,,""
DBF_天然栎林_宝天曼,day,,/,,""
DBF_天然栎林_宝天曼,hour,,/,,""
