site_old,name,N,site,z_TS,z_SM
BaoTianMan,宝天曼,730,DBF_天然栎林_宝天曼,"5,20","10,20,50"
ChangBaiShan,长白山,2922,MF_针阔混交_长白山,"0,5,20,50,100","5,20,50"
DanZhou,儋州,3287,EBF_橡胶林_海南儋州,"2,5,20,50","5,20,50"
DingHuShan,鼎湖山,2922,MF_针阔混交_鼎湖山,"5,10,15,20,40","5,20,40"
HuZhong,呼中,1826,ENF_北方林森林_呼中,"5,10,20,50,100","10,20,30,50,100"
JinFoShan,金佛山,731,EBF_亚热带常绿阔叶林_金佛山,"10,20,40,60,80,120,160","10,20,40,60,80,120,160"
QianYanZhou,千烟洲,4748,ENF_人工针叶林_千烟洲,"5,10,20,50,100","5,20,50"
XiaoLangDi,小浪底,731,DBF_栓皮栎人工林_小浪底,"0,5,10,20","5,10,20"
Xishuangbanna-EBF,西双版纳-EBF,1651,EBF_热带雨林_西双版纳,"0,40,60,80,100","5,20,40"
Xishuangbanna-Rubber,西双版纳-Rubber,4748,EBF_橡胶林_西双版纳,"0,5,20,100","5,20,100"
YanShan-ENF,燕山-ENF,731,ENF_人工针叶林_燕山,"5,10,20,40,60","5,10,20"
YanShan-MF,燕山-MF,731,MF_乔灌混交林_燕山,"5,10,20,40,60","5,10,20"
