ID,SITE
1,CRO,CRO_春玉米_锦州_2005-2014
2,CRO,CRO_冬小麦夏玉米_固城_2020-2022
3,CRO,CRO_冬小麦夏玉米_栾城_2013-2017
4,CRO,CRO_冬小麦夏玉米_禹城_2003-2010
5,CRO,CRO_水稻_句容_2015-2020
6,CRO,CRO_水稻_盘锦_2018-2020
7,CRO,CRO_水稻_长岭_2018-2020
8,CRO,CRO_制种玉米_临泽_2012-2015
9,DBF,DBF_栓皮栎人工林_小浪底_2016-2017
10,DBF,DBF_天然栎林_宝天曼_2017-2018
11,DBF,DBF_温带落叶阔叶林_帽儿山_2016-2018
12,EBF,EBF_热带雨林_西双版纳_2003-2015
13,EBF,EBF_橡胶林_海南儋州_2010-2018
14,EBF,EBF_橡胶林_西双版纳_2010-2014
15,EBF,EBF_亚热带常绿阔叶林_哀牢山_2009-2013
16,EBF,EBF_亚热带常绿阔叶林_金佛山_2020-2021
17,ENF,ENF_北方林森林_呼中_2014-2018
18,ENF,ENF_人工针叶林_千烟洲_2003-2015
19,GRA,GRA_典型草原_多伦_2006-2015
20,GRA,GRA_典型草原_锡林浩特_2003-2010
21,GRA,GRA_高寒草甸_当雄_2004-2010
22,GRA,GRA_高寒草甸_海北_2015-2020
23,GRA,GRA_高寒草甸_那曲_2014-2018
24,GRA,GRA_高寒草甸_若尔盖_2015-2020
25,GRA,GRA_粮草复合_庆阳_2019-2021
26,GRA,GRA_人工垂穗披碱草_三江源_2012-2016
27,GRA,GRA_稀树草原_元江_2013-2015
28,GRA,GRA_刈割草原_锡林浩特_2006-2015
29,MF,MF_乔灌混交林_燕山_2020-2021
30,MF,MF_针阔混交_鼎湖山_2003-2010
31,MF,MF_针阔混交_长白山_2003-2010
32,SAV,SAV_荒漠草原_达茂_2015-2018
33,WET,WET_滨海盐沼_崇明东滩_2004-2010
34,WET,WET_高寒湿地_海北_2004-2009
35,WET,WET_芦苇湿地_盘锦_2018-2020
36,WET,WET_南荻_洞庭湖_2014-2016
37,WSA,WSA_高寒灌丛_海北_2011-2020
38,WSA,WSA_退耕乔灌草_普定_2015-2019
