site_old,name,N,site
AiLaoShan,哀牢山,1826,EBF_亚热带常绿阔叶林_哀牢山
BaoTianMan,宝天曼,730,DBF_天然栎林_宝天曼
ChangBaiShan,长白山,2922,MF_针阔混交_长白山
ChangLing,长岭,916,CRO_水稻_长岭
ChongMing,崇明东滩,2313,WET_崇明东滩
DaMao,达茂,1461,SAV_荒漠草原_达茂
DanZhou,儋州,3287,EBF_橡胶林_海南儋州
DangXiong,当雄,2557,GRA_高寒草甸_当雄
DingHuShan,鼎湖山,2922,MF_针阔混交_鼎湖山
DuoLun,多伦,3652,GRA_典型草原_多伦
GuCheng,固城,1045,CRO_冬小麦夏玉米_固城
HaiBei-GRA,海北-GRA,2192,GRA_高寒草甸_海北
HaiBei-WET,海北-WET,2192,WET_高寒湿地_海北
HaiBei-WSA,海北-WSA,2558,WSA_高寒灌丛_海北
HuZhong,呼中,1826,ENF_北方林森林_呼中
JinFoShan,金佛山,731,EBF_亚热带常绿阔叶林_金佛山
JinZhou,锦州,3652,CRO_春玉米_锦州
JuRong,句容,2192,CRO_水稻_句容
LinZe,临泽,1461,CRO_制种玉米_临泽
LuanCheng,栾城,4018,CRO_冬小麦夏玉米_栾城
MaoErShan,帽儿山,1096,DBF_温带落叶阔叶林_帽儿山
NaQu,那曲,1826,GRA_高寒草甸_那曲
NanDi,南荻,926,WET_南荻湿地_洞庭湖
PanJin-CRO,盘锦-CRO,1096,CRO_水稻_盘锦
PanJin-WET,盘锦-WET,1094,WET_芦苇湿地_盘锦
PuDing,普定,1826,WSA_退耕还林_普定
QianYanZhou,千烟洲,4748,ENF_人工针叶林_千烟洲
QingYang,庆阳,1096,CRO_典型粮草_庆阳
RuoErGai,若尔盖,2056,GRA_高寒草甸_若尔盖
SanJiangYuan,三江源,1827,GRA_人工垂穗披碱草_三江源
XiaoLangDi,小浪底,731,DBF_栓皮栎人工林_小浪底
Xilinhot-GRA,锡林浩特-典型草原,2809,GRA_典型草原_锡林浩特
Xilinhot-GRA2,锡林浩特-刈割草原,3652,GRA_刈割草原_锡林浩特
Xishuangbanna-EBF,西双版纳-EBF,1651,EBF_热带雨林_西双版纳
Xishuangbanna-Rubber,西双版纳-Rubber,4748,EBF_橡胶林_西双版纳
YanShan-ENF,燕山-ENF,731,ENF_人工针叶林_燕山
YanShan-MF,燕山-MF,731,MF_乔灌混交林_燕山
YanShan-WSA,燕山-WSA,731,WSA_灌丛_燕山
YuCheng,禹城,2922,CRO_冬小麦夏玉米_禹城
YuanJiang,元江,969,GRA_稀树草原_元江
