site,lon,lat,VegType,SoilType,土壤类型,z_TS,z_SM,z_G,z_Uz,z_overstory
DBF_栓皮栎人工林_小浪底,112.4688889,35.02916667,DBF,loam,棕壤和石灰岩风化母质淋溶性褐土,"0,5,10,20","5,10,20",-,36,11
DBF_天然栎林_宝天曼,111.9352778,33.49972222,DBF,loam,"山地棕壤为主,土层厚度在40~100cm 之间。山地棕壤、山地黄棕壤和山地褐土3个土类","5,20","10,20,50",-,22,20
EBF_热带雨林_西双版纳,101.25,21.91666667,EBF,clay_loam,以砖红壤为主，局部伴生赤红壤,"0,40,60,80,100","5,20,40",-,42,35
EBF_橡胶林_海南儋州,109.475,19.54638889,EBF,sandy_clay_loam,"花岗岩风化而成的砖红壤，多
为沙质粘壤土","2,5,20,50","5,20,50",-,33,18
EBF_橡胶林_西双版纳,101.2666667,21.9,EBF,clay_loam,砖红壤/赤红壤；壤土—黏壤土—黏土,"0,5,20,100","5,20,100",-,28.9,21
EBF_亚热带常绿阔叶林_金佛山,107.1508,29.0217,EBF,clay_loam,石灰土，伴有少量棕黄壤，基岩地层以寒武纪、奥陶纪的石灰岩、白云岩为主,"10,20,40,60,80,120,160","10,20,40,60,80,120,160",-,24,16
ENF_北方林森林_呼中,121.0177778,51.78111111,ENF,loam,棕色针叶林土,"5,10,20,50,100","10,20,30,50,100",-,25,15
ENF_人工针叶林_千烟洲,115.0666667,26.73333333,ENF,sandy_loam,"红壤，成土母质多为红色砂
岩和砂砾岩","5,10,20,50,100","5,20,50",-,39.6,12
ENF_人工针叶林_燕山,116.6588,40.4165,ENF,loam,壤土，潮褐土,"5,10,20,40,60","5,10,20","2,5",20,10
MF_乔灌混交林_燕山,116.6539,40.4172,Shrub-SH,loam,壤土，潮褐土,"5,10,20,40,60","5,10,20","2,5",20,7
MF_针阔混交_鼎湖山,112.5341667,23.17361111,Shrub-SH,clay_loam,南亚热带赤红壤。地质基础主要为泥盆纪砂岩、砂页岩、页岩和石英砂岩,"5,10,15,20,40","5,20,40",-,28,17.5
MF_针阔混交_长白山,128.0958,42.4025,Shrub-SH,loam,山地暗棕壤,"0,5,20,50,100","5,20,50",0,32,27
